index,season.episode,episode_name,text,total_votes,air_date,director,writer,character,director_index,writer_index,character_index,ave_emotion,ave_sentiment,ave_profanity,imdb_rating
213,1.1,Pilot,Good. I thought you were going out for a drink with...,3706,3/24/2005,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Pam,31,41,23,0.005681818,0.241209076,0,8.2
217,1.1,Pilot,Yeah.,3706,3/24/2005,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Pam,31,41,23,0,0.75,0,8.2
261,1.2,Diversity Day,Thank you. Thank you. Thank you. Great.,3566,3/29/2005,Ken Kwapis,B.J. Novak,Mr. Brown,31,5,32,0,0,0,8
271,1.2,Diversity Day,"Right. Exactly. Uh, instead, we need to celebrate our diversity.",3566,3/29/2005,Ken Kwapis,B.J. Novak,Mr. Brown,31,5,32,0.083333333,-0.461880215,0,8
274,1.2,Diversity Day,Celebrate good times. Come on! Let's celebrate diversity. Right?,3566,3/29/2005,Ken Kwapis,B.J. Novak,Michael,31,5,19,0,-0.111803399,0,8
280,1.2,Diversity Day,Thank you very much. And it would also help me if you were seated.,3566,3/29/2005,Ken Kwapis,B.J. Novak,Mr. Brown,31,5,32,0,0,0,8
285,1.2,Diversity Day,"OK, can we steer away from gay people?",3566,3/29/2005,Ken Kwapis,B.J. Novak,Dwight,31,5,9,0,0.283473355,0,8
304,1.2,Diversity Day,"Basically, there are two types of black people and black people are actually more racist because they hate the other type of black people. Every time the one type wants to have a good time, then the other type comes in and makes a real mess.",3566,3/29/2005,Ken Kwapis,B.J. Novak,Kevin,31,5,17,0.125,-0.75,0,8
317,1.2,Diversity Day,We all have a hero in our heart.,3566,3/29/2005,Ken Kwapis,B.J. Novak,Dwight,31,5,9,0,0,0,8
319,1.2,Diversity Day,I don't think I can sign this.,3566,3/29/2005,Ken Kwapis,B.J. Novak,Michael,31,5,19,0,0,0,8
325,1.2,Diversity Day,"Here's the thing. This office, I think this is very advanced in terms of... racial awareness and it's probably more advanced than you're used to. That's probably throwing you off a little bit.",3566,3/29/2005,Ken Kwapis,B.J. Novak,Michael,31,5,19,0.020833333,0.70725408,0,8
332,1.2,Diversity Day,Don't worry about dating.,3566,3/29/2005,Ken Kwapis,B.J. Novak,Mr. Brown,31,5,32,0,0,0,8
336,1.2,Diversity Day,"""I regret my actions. I regret offending my coworkers. I pledge to bring my best spirit of honesty, empathy, respect and open-mindedness..."" Open-mindedness, is that even a word? ""...into the workplace. In this way, I can truly be a hero. Signed, Daffy Duck."" He's going to lose it when he reads that.",3566,3/29/2005,Ken Kwapis,B.J. Novak,Michael,31,5,19,0,0.120604538,0,8
340,1.2,Diversity Day,"Hey, we're not all going to sit in a circle Indian style are we?",3566,3/29/2005,Ken Kwapis,B.J. Novak,Toby,31,5,29,0,0,0,8
356,1.2,Diversity Day,"OK, Michael, um... Both my parents were born in Mexico.",3566,3/29/2005,Ken Kwapis,B.J. Novak,Oscar,31,5,22,0,0.8,0,8
357,1.2,Diversity Day,"Oh, yeah...",3566,3/29/2005,Ken Kwapis,B.J. Novak,Michael,31,5,19,0,0.335410197,0,8
358,1.2,Diversity Day,"And, uh, they moved to the United Sates a year before I was born. So I grew up in the United States.",3566,3/29/2005,Ken Kwapis,B.J. Novak,Oscar,31,5,22,0.004807692,0.278437562,0,8
364,1.2,Diversity Day,Mexican isn't offensive.,3566,3/29/2005,Ken Kwapis,B.J. Novak,Oscar,31,5,22,0,0,0,8
373,1.2,Diversity Day,"I have something here. I want you to take a card. Put it on your fore... Don't look at the card. I want you to take the card and put it on your forehead and... Take a card, take a card, any card. Um... And I want you to treat other people like the race that is on their forehead. OK? So everybody has a different race. Nobody knows what their race is, so... I want you to really go for it, cause this is real. You know, this isn't just an exercise. This is real life. And... I have a dream that you will really let the sparks fly. Get 'er done.",3566,3/29/2005,Ken Kwapis,B.J. Novak,Michael,31,5,19,0,0,0,8
375,1.2,Diversity Day,Oh this is a good one.,3566,3/29/2005,Ken Kwapis,B.J. Novak,Michael,31,5,19,0.020833333,0.193649167,0,8
389,1.2,Diversity Day,"OK, I like your food.",3566,3/29/2005,Ken Kwapis,B.J. Novak,Pam,31,5,23,0.036057692,0.054715905,0,8
412,1.2,Diversity Day,OK. All right. No. It's good. You just need to push it. You need to go a little bit further. All right. OK.,3566,3/29/2005,Ken Kwapis,B.J. Novak,Michael,31,5,19,0,0,0,8
413,1.2,Diversity Day,"Kelly, how are you?",3566,3/29/2005,Ken Kwapis,B.J. Novak,Michael,31,5,19,0,0.15513167,0,8
415,1.2,Diversity Day,"Oh! Welcome to my convenience store. Would you like some googi googi? I have some very delicious googi, googi, only 99 cents plus tax. Try my googi, googi. Try my googi, googi. Try my googi, googi. Try my...",3566,3/29/2005,Ken Kwapis,B.J. Novak,Michael,31,5,19,0,0,0,8
436,1.3,Health Care,Nothing new.,2983,4/5/2005,Ken Whittingham,Paul Lieberstein,Pam,32,37,23,0,0,0,8.5
440,1.3,Health Care,"Oh, do you want me to repeat the messages that I gave you before for the...",2983,4/5/2005,Ken Whittingham,Paul Lieberstein,Pam,32,37,23,0,0,0,8.5
466,1.3,Health Care,"There's a decision that needs to be made, and I'm having an unbelievably a busy day. So I'm going to let you pick a health care plan for our office and then explain it to your co-workers.",2983,4/5/2005,Ken Whittingham,Paul Lieberstein,Michael,32,37,19,0.001689189,0.107875021,0,8.5
486,1.3,Health Care,"In the wild, there is no health care. In the wild, health care is, ""Ow, I hurt my leg. I can't run. A lion eats me and I'm dead."" Well, I'm not dead. I'm the lion. You're dead.",2983,4/5/2005,Ken Whittingham,Paul Lieberstein,Dwight,32,37,9,0.011363636,0.072744874,0,8.5
508,1.3,Health Care,OK. Dwight. Are you really in charge of picking the health care plan?,2983,4/5/2005,Ken Whittingham,Paul Lieberstein,Pam,32,37,23,0,0,0,8.5
518,1.3,Health Care,Why would you want to raise your cholesterol?,2983,4/5/2005,Ken Whittingham,Paul Lieberstein,Pam,32,37,23,0,0,0,8.5
519,1.3,Health Care,So I can lower it.,2983,4/5/2005,Ken Whittingham,Paul Lieberstein,Dwight,32,37,9,0,0,0,8.5
544,1.3,Health Care,"OK, everyone. Gather round. Step forward. It has been brought to my attention that some of you are unhappy with my plan. So what I'd like you to do is to fill this out and write down any diseases you have that you might want covered and I'll see what I can do.",2983,4/5/2005,Ken Whittingham,Paul Lieberstein,Dwight,32,37,9,0.025,0.276193752,0,8.5
547,1.3,Health Care,Workspace.,2983,4/5/2005,Ken Whittingham,Paul Lieberstein,Jim,32,37,14,0,0,0,8.5
550,1.3,Health Care,"Um, headed out. Part of my busy day, you know. Meetings. Couldn't find the knob.",2983,4/5/2005,Ken Whittingham,Paul Lieberstein,Michael,32,37,19,0.007352941,0,0,8.5
552,1.3,Health Care,"I don't know of anything like that, but, um, you know what you might want to do, is just call those casinos directly. Um, maybe?",2983,4/5/2005,Ken Whittingham,Paul Lieberstein,Travel Agent,32,37,32,0,0,0,8.5
554,1.3,Health Care,Wait. What are you writing? Don't write Ebola or mad cow disease. Right? 'Cause I'm suffering from both.,2983,4/5/2005,Ken Whittingham,Paul Lieberstein,Jim,32,37,14,0,0,0,8.5
559,1.3,Health Care,Nice.,2983,4/5/2005,Ken Whittingham,Paul Lieberstein,Pam,32,37,23,0.005859375,0.276748936,0,6.8
570,1.3,Health Care,"All right, who did this? I'm not mad. I just want to know who did it so I can punish them.",2983,4/5/2005,Ken Whittingham,Paul Lieberstein,Dwight,32,37,9,0,0,0,6.8
589,1.3,Health Care,Yep.,2983,4/5/2005,Ken Whittingham,Paul Lieberstein,Jim,32,37,14,0,0,0,6.8
591,1.3,Health Care,Good luck.,2983,4/5/2005,Ken Whittingham,Paul Lieberstein,Jim,32,37,14,0,0,0,6.8
633,1.3,Health Care,Yeah.,2983,4/5/2005,Ken Whittingham,Paul Lieberstein,Dwight,32,37,9,0.013157895,0.216156631,0,6.8
639,1.3,Health Care,Did you get the kind with the cookies? Instead of the...,2983,4/5/2005,Ken Whittingham,Paul Lieberstein,Ryan,32,37,27,0,0.25,0,6.8
654,1.3,Health Care,"OK, great. Dermatitis. Thank you Angela. I'll make sure that's covered. OK, now. Who wrote this, hysterical one? a**l fissures?",2983,4/5/2005,Ken Whittingham,Paul Lieberstein,Dwight,32,37,9,0,0,0,6.8
671,1.3,Health Care,We all think you don't have a surprise.,2983,4/5/2005,Ken Whittingham,Paul Lieberstein,Stanley,32,37,28,0.0625,-0.202072594,0,6.8
673,1.3,Health Care,"When I am backed into a corner, that is when I come alive. See I learned improve from the greats, like, um, Drew Carey and Ryan Stiles.",2983,4/5/2005,Ken Whittingham,Paul Lieberstein,Michael,32,37,19,0,0.288675135,0,6.8
678,1.4,The Alliance,"Oh! God. Dwight, come on...",2886,4/12/2005,Bryan Gordon,Michael Schur,Michael,8,32,19,0,-0.122019173,0,8.8
691,1.4,The Alliance,"I didn't do it. What do you mean? Oh, the water cooler was brought over here for... maintenance. So what do you guys hear? What's the scuttlebutt?",2886,4/12/2005,Bryan Gordon,Michael Schur,Dwight,8,32,9,0,0,0,8.8
710,1.4,The Alliance,What color do you guys think?,2886,4/12/2005,Bryan Gordon,Michael Schur,Angela,8,32,2,0.00390625,0.202889671,0,8.8
714,1.4,The Alliance,This was tough. I suggested we flip a coin. But Angela said she doesn't like to gamble. Of course by saying that she was gambling that I wouldn't smack her.,2886,4/12/2005,Bryan Gordon,Michael Schur,Pam,8,32,23,0,0,0,8.8
736,1.4,The Alliance,"Jim! Hey. Hi, Pam. Listen, could I talk to you a second about the... paper products?",2886,4/12/2005,Bryan Gordon,Michael Schur,Dwight,8,32,9,0.019230769,0.312044637,0,8.8
739,1.4,The Alliance,Just now.,2886,4/12/2005,Bryan Gordon,Michael Schur,Dwight,8,32,9,0,0,0,8.8
747,1.4,The Alliance,"Can you get her? She's right there. That is Meredith, the birthday girl. And this... is Meredith's card. Happy Bird-Day. Um, let's see. Jim, Jim wrote, ""Meredith, I heard you're turning 46, but, come on, you're an accountant. Just fudge the numbers."" Not bad, pretty funny, I don't appreciate condoning corporate fraud though. Uh, here's the thing. Whatever I write here has to be really, really funny. Because people out there are expecting it. I've already set the bar really high. And they're all worried about their jobs, you know. It's kinda dark out there. Can you imagine if I wrote something like, uh, ""Oh, Meredith. Happy Birthday. You're great. Love, Michael.""",2886,4/12/2005,Bryan Gordon,Michael Schur,Michael,8,32,19,0.011363636,0.290870219,0,8.8
748,1.4,The Alliance,"They seem awfully chummy, don't you think?",2886,4/12/2005,Bryan Gordon,Michael Schur,Dwight,8,32,9,0,0,0,8.8
759,1.4,The Alliance,Yeah.,2886,4/12/2005,Bryan Gordon,Michael Schur,Kevin,8,32,17,0.03125,0.163299316,0,8.8
769,1.4,The Alliance,"OK, listen, we need to assume that everyone in the office is forming an alliance and is therefore trying to get us kicked off.",2886,4/12/2005,Bryan Gordon,Michael Schur,Jim,8,32,14,0.020833333,0.024799223,0,8.8
776,1.4,The Alliance,"My nephew is involved with, um, a charity for cerebral palsy, and I was wondering if maybe you'd like to... you know... if...",2886,4/12/2005,Bryan Gordon,Michael Schur,Oscar,8,32,22,0,0,0,8.8
798,1.4,The Alliance,"Name, Meredith Palmer. Uh, personal information, divorced twice, two kids. Uh, Employer, Dunder Mifflin Paper Incorporated. Awards, multiple Dundies.",2886,4/12/2005,Bryan Gordon,Michael Schur,Dwight,8,32,9,0,0,0,8.8
800,1.4,The Alliance,She had a hysterectomy.,2886,4/12/2005,Bryan Gordon,Michael Schur,Dwight,8,32,9,0,0.178885438,0,8.8
801,1.4,The Alliance,Which one is that again?,2886,4/12/2005,Bryan Gordon,Michael Schur,Michael,8,32,19,0.005952381,-0.246187624,0,8.8
802,1.4,The Alliance,That's where they remove the uterus.,2886,4/12/2005,Bryan Gordon,Michael Schur,Dwight,8,32,9,0.046875,-0.088388348,0,8.8
809,1.4,The Alliance,"No no, yes there is. Behind the shelves. Oh my God.",2886,4/12/2005,Bryan Gordon,Michael Schur,Dwight,8,32,9,0,0,0,8.8
811,1.4,The Alliance,I know. I know exactly what to do.,2886,4/12/2005,Bryan Gordon,Michael Schur,Dwight,8,32,9,0,0.367408982,0,8.8
821,1.4,The Alliance,"Look, I can breathe just fine. OK, but if it makes you feel better, I'll poke holes in the box.",2886,4/12/2005,Bryan Gordon,Michael Schur,Dwight,8,32,9,0,0,0,8.8
825,1.4,The Alliance,"No, it's ah...",2886,4/12/2005,Bryan Gordon,Michael Schur,Angela,8,32,2,0,0,0,8.8
832,1.4,The Alliance,Right... That's good.,2886,4/12/2005,Bryan Gordon,Michael Schur,Jim,8,32,14,0.025,0.249128612,0,8.8
842,1.4,The Alliance,I can't eat dairy.,2886,4/12/2005,Bryan Gordon,Michael Schur,Meredith,8,32,18,0.018229167,0.226875051,0,8.8
847,1.4,The Alliance,"Pam, he's in a box. He's downstairs, in a box, on the floor, near the shelves. I'm serious. Go down there and work your magic.",2886,4/12/2005,Bryan Gordon,Michael Schur,Jim,8,32,14,0.0234375,0.176776695,0,8.8
852,1.4,The Alliance,"Well, you know, money isn't everything Jim. It's not the key to happiness. You know what is? Joy. You should remember that. Maybe you'll give more than three dollars next time.",2886,4/12/2005,Bryan Gordon,Michael Schur,Michael,8,32,19,0,0,0,8.8
867,1.4,The Alliance,Read it out loud. And say who wrote everything so we know whose is the best.,2886,4/12/2005,Bryan Gordon,Michael Schur,Michael,8,32,19,0.03125,0.078763037,0,8.8
870,1.4,The Alliance,"That was Stanley. ""Meredith, happy birthday, you're the best. Love, Pam.""",2886,4/12/2005,Bryan Gordon,Michael Schur,Meredith,8,32,18,0,-0.183028759,0,8.8
902,1.4,The Alliance,"Oh, tell me, tell me.",2886,4/12/2005,Bryan Gordon,Michael Schur,Pam,8,32,23,0,0,0,8.6
924,1.5,Basketball,"Pam, Pam, thank you ma'am. Messages, please. Thank you.",3179,4/19/2005,Greg Daniels,Greg Daniels,Michael,20,17,19,0,0,0,8.8
931,1.5,Basketball,"Michael, I...",3179,4/19/2005,Greg Daniels,Greg Daniels,Dwight,20,17,9,0.005208333,0,0,8.8
935,1.5,Basketball,And that's why you have an assistant regional manager.,3179,4/19/2005,Greg Daniels,Greg Daniels,Dwight,20,17,9,0.028409091,0.219201016,0,8.8
936,1.5,Basketball,Yes it is. Assistant to the regional manager.,3179,4/19/2005,Greg Daniels,Greg Daniels,Michael,20,17,19,0.005952381,0.196774736,0,8.8
941,1.5,Basketball,"God, this is so sad. This is the smallest amount of power I've ever seen go to someone's head. Phyllis, can you believe this?",3179,4/19/2005,Greg Daniels,Greg Daniels,Jim,20,17,14,0.002155172,0.130198983,0,8.8
958,1.5,Basketball,"So, um, one o'clock sharp and we've got a game on.",3179,4/19/2005,Greg Daniels,Greg Daniels,Michael,20,17,19,0,0,0,8.8
964,1.5,Basketball,"All right, see you at one.",3179,4/19/2005,Greg Daniels,Greg Daniels,Michael,20,17,19,0,0.024750006,0,8.8
971,1.5,Basketball,"Uh, ""I'll help, Elwyn Dragonslayer, uh, ten points, power sword.""",3179,4/19/2005,Greg Daniels,Greg Daniels,Michael,20,17,19,0.008522727,0.25584086,0,8.8
975,1.5,Basketball,"Um, what do you play? Center?",3179,4/19/2005,Greg Daniels,Greg Daniels,Michael,20,17,19,0.0078125,0.08226531,0,8.8
989,1.5,Basketball,"I will use your talents come baseball season, my friend. Or if we box.",3179,4/19/2005,Greg Daniels,Greg Daniels,Michael,20,17,19,0.083333333,0,0,8.8
990,1.5,Basketball,I have a hoop in my driveway.,3179,4/19/2005,Greg Daniels,Greg Daniels,Kevin,20,17,17,0.014705882,-0.014836125,0,8.8
991,1.5,Basketball,No.,3179,4/19/2005,Greg Daniels,Greg Daniels,Michael,20,17,19,0,0,0,8.8
998,1.5,Basketball,Can I be team captain?,3179,4/19/2005,Greg Daniels,Greg Daniels,Dwight,20,17,9,0,0,0,8.8
999,1.5,Basketball,"No, I'm team captain.",3179,4/19/2005,Greg Daniels,Greg Daniels,Michael,20,17,19,0,0,0,8.8
1004,1.5,Basketball,"OK, we'll see who's working this weekend then.",3179,4/19/2005,Greg Daniels,Greg Daniels,Dwight,20,17,9,0,0,0,8.8
1021,1.5,Basketball,Why don't we make it more interesting? Loser buys dinner at Farley's.,3179,4/19/2005,Greg Daniels,Greg Daniels,Darryl,20,17,6,0,0.230940108,0,8.8
1023,1.5,Basketball,"No, that's not as much fun. You know what?",3179,4/19/2005,Greg Daniels,Greg Daniels,Darryl,20,17,6,0,0,0,8.8
1026,1.5,Basketball,"OK. Cool, you're on. Don't screw this up.",3179,4/19/2005,Greg Daniels,Greg Daniels,Michael,20,17,19,0,0,0,8.8
1034,1.5,Basketball,Whoa.,3179,4/19/2005,Greg Daniels,Greg Daniels,Jim,20,17,14,0.083333333,-0.433012702,0,8.8
1037,1.5,Basketball,Oh.,3179,4/19/2005,Greg Daniels,Greg Daniels,Jim,20,17,14,0,0,0,8.8
1041,1.5,Basketball,I think I'll see you at the mall. Yeah.,3179,4/19/2005,Greg Daniels,Greg Daniels,Jim,20,17,14,0.004807692,-0.069337525,0,8.8
1066,1.5,Basketball,Woo!,3179,4/19/2005,Greg Daniels,Greg Daniels,Pam,20,17,23,0,0,0,8.8
1067,1.5,Basketball,"Aw, come on! What is wrong with me today!? Usually hit those. Dwight, I was open. All right, let's go.",3179,4/19/2005,Greg Daniels,Greg Daniels,Michael,20,17,19,0,0,0,8.8
1072,1.5,Basketball,What is wrong with me today?!,3179,4/19/2005,Greg Daniels,Greg Daniels,Michael,20,17,19,0.0625,-0.625,0,8.8
1078,1.5,Basketball,That is cool. Is that like the Robot?,3179,4/19/2005,Greg Daniels,Greg Daniels,Michael,20,17,19,0,0,0,8.8
1085,1.5,Basketball,"Come on! Hey, Dwight. Dwight!",3179,4/19/2005,Greg Daniels,Greg Daniels,Michael,20,17,19,0,0,0,8.8
1086,1.5,Basketball,Yeah! In your face!,3179,4/19/2005,Greg Daniels,Greg Daniels,Dwight,20,17,9,0,0,0,8.8
1094,1.5,Basketball,You know what? Let me take Roy.,3179,4/19/2005,Greg Daniels,Greg Daniels,Jim,20,17,14,0.03125,-0.25,0,8.8
1108,1.5,Basketball,"Yeah! Yeah! Yeah! In, your, face! Angela, what's the score?",3179,4/19/2005,Greg Daniels,Greg Daniels,Michael,20,17,19,0,0,0,8.8
1122,1.5,Basketball,"Oh, really? No, I just put my arm up...",3179,4/19/2005,Greg Daniels,Greg Daniels,Worker,20,17,32,0.020833333,0.020412415,0,8.8
1150,1.6,Hot Girl,Are you listening to me Michael?,2852,4/26/2005,Amy Heckerling,Mindy Kaling,Jan,2,34,13,0.011904762,-0.248576778,0.047619048,8.3
1151,1.6,Hot Girl,"Huh? huh? Come on... Come on, Pammy I was just kidding.",2852,4/26/2005,Amy Heckerling,Mindy Kaling,Roy,2,34,26,0,0.326598632,0,8.3
1157,1.6,Hot Girl,Jim is a great guy. He's like a brother to me. We're like best friends in the office and I really hope he finds someone.,2852,4/26/2005,Amy Heckerling,Mindy Kaling,Pam,2,34,23,0.013888889,-0.004166667,0,8.3
1159,1.6,Hot Girl,You seem to like to touch things. Did you try the velvet?,2852,4/26/2005,Amy Heckerling,Mindy Kaling,Katy,2,34,32,0,0.086280585,0,8.3
1163,1.6,Hot Girl,"Oh no, it's fine that you, um. Here, what about the raspberry one? It's really uh, kind of festive. It's got a lot of personality.",2852,4/26/2005,Amy Heckerling,Mindy Kaling,Katy,2,34,32,0,0,0,8.3
1173,1.6,Hot Girl,I can't.,2852,4/26/2005,Amy Heckerling,Mindy Kaling,Katy,2,34,32,0.024193548,0.514017598,0,8.3
1193,1.6,Hot Girl,Pam!,2852,4/26/2005,Amy Heckerling,Mindy Kaling,Michael,2,34,19,0.003787879,0.151346157,0,8.3
1213,1.6,Hot Girl,"Pam. Pam. Come on, I'm busy. So just tell her to go away.",2852,4/26/2005,Amy Heckerling,Mindy Kaling,Michael,2,34,19,0,0,0,8.3
1225,1.6,Hot Girl,"Don't say cocks. Oh, what is your name, my fair lass?",2852,4/26/2005,Amy Heckerling,Mindy Kaling,Michael,2,34,19,0,0.272843165,0,8.3
1251,1.6,Hot Girl,"No, it is a perfect smell-alike. I'm not paying for the label. Right here. Give it.",2852,4/26/2005,Amy Heckerling,Mindy Kaling,Michael,2,34,19,0,0.218274532,0,8.3
1255,1.6,Hot Girl,I guess a cup of coffee would be great.,2852,4/26/2005,Amy Heckerling,Mindy Kaling,Katy,2,34,32,0.00862069,-0.159843786,0,8.3
1275,1.6,Hot Girl,So are you jealous 'cause there's another girl around?,2852,4/26/2005,Amy Heckerling,Mindy Kaling,Kevin,2,34,17,0.010869565,0.383006934,0,8.3
1285,1.6,Hot Girl,So do you like the periwinkle and the purples?,2852,4/26/2005,Amy Heckerling,Mindy Kaling,Katy,2,34,32,0,0,0,8.3
1289,1.6,Hot Girl,There ya go. Nice steaming cup o'joe.,2852,4/26/2005,Amy Heckerling,Mindy Kaling,Michael,2,34,19,0,0,0,8.3
1297,1.6,Hot Girl,"Oh, um, well, we could have Ryan take a look. Ryan, would you look after the purses, please?",2852,4/26/2005,Amy Heckerling,Mindy Kaling,Michael,2,34,19,0,0,0,7.9
1298,1.6,Hot Girl,"That is cool. Well, I'll see you Monday though, right?",2852,4/26/2005,Amy Heckerling,Mindy Kaling,Jim,2,34,14,0,0.124675216,0,7.9
1302,1.6,Hot Girl,Okay.,2852,4/26/2005,Amy Heckerling,Mindy Kaling,Jim,2,34,14,0,0,0,7.9
1322,1.6,Hot Girl,With us?,2852,4/26/2005,Amy Heckerling,Mindy Kaling,Michael,2,34,19,0,0,0,7.9
1337,1.6,Hot Girl,"Toby's divorced. He uh, guh recently, right?",2852,4/26/2005,Amy Heckerling,Mindy Kaling,Michael,2,34,19,0.009615385,0.141372692,0,7.9
1341,1.6,Hot Girl,"You and your wife, and you have kids.",2852,4/26/2005,Amy Heckerling,Mindy Kaling,Michael,2,34,19,0,0,0,7.9
1367,1.6,Hot Girl,Stay away from my mom.,2852,4/26/2005,Amy Heckerling,Mindy Kaling,Kevin,2,34,17,0.017045455,0.241161565,0,7.9
1379,1.6,Hot Girl,"Plus you have so much more to talk to this girl about, You're both um, salesmen. I mean that's something right there.",2852,4/26/2005,Amy Heckerling,Mindy Kaling,Jim,2,34,14,0.009615385,0.429892652,0,7.9
1388,1.6,Hot Girl,No.,2852,4/26/2005,Amy Heckerling,Mindy Kaling,Dwight,2,34,9,0,0.241585637,0,7.9
1395,1.6,Hot Girl,,2852,4/26/2005,Amy Heckerling,Mindy Kaling,Pam,2,34,23,0,-0.052227741,0,7.9
1411,1.6,Hot Girl,,2852,4/26/2005,Amy Heckerling,Mindy Kaling,Katy,2,34,32,0.020833333,0.194848037,0,7.9
1422,1.6,Hot Girl,Is that from Starbucks?,2852,4/26/2005,Amy Heckerling,Mindy Kaling,Katy,2,34,32,0,0.5,0,7.9
